expt	route	sero	T	dpf	n	nPH
4	2	7	20	1	10	0
4	2	7	20	2	10	0
4	2	7	20	3	10	0
4	2	7	20	4	10	0
4	2	7	20	8	10	0
4	2	7	20	12	11	2
4	2	7	20	16	10	1
4	2	7	20	20	15	0
4	2	7	20	24	37	9
4	2	7	25	1	8	0
4	2	7	25	2	6	0
4	2	7	25	3	10	0
4	2	7	25	4	10	1
4	2	7	25	6	10	0
4	2	7	25	8	10	4
4	2	7	25	10	10	4
4	2	7	25	12	18	7
4	2	7	25	14	31	9
4	2	7	30	1	7	0
4	2	7	30	2	8	1
4	2	7	30	3	10	1
4	2	7	30	4	9	0
4	2	7	30	6	10	2
4	2	7	30	8	10	5
4	2	7	30	10	10	2
4	2	7	30	12	17	7
4	2	7	30	14	40	15
1	1	1	20	1	10	0
1	1	1	20	2	10	0
1	1	1	20	3	10	0
1	1	1	20	4	10	0
1	1	1	20	8	10	0
1	1	1	20	12	10	3
1	1	1	20	16	10	7
1	1	1	20	20	14	8
1	1	1	20	24	16	9
1	1	1	25	1	10	0
1	1	1	25	2	10	0
1	1	1	25	3	10	0
1	1	1	25	4	10	0
1	1	1	25	6	10	3
1	1	1	25	8	10	4
1	1	1	25	10	10	7
1	1	1	25	12	16	12
1	1	1	25	14	26	23
1	1	1	30	1	10	1
1	1	1	30	2	10	4
1	1	1	30	3	10	6
1	1	1	30	4	10	4
1	1	1	30	6	10	6
1	1	1	30	8	10	8
1	1	1	30	10	10	6
1	1	1	30	12	16	13
1	1	1	30	14	18	15
2	1	2	20	1	8	0
2	1	2	20	2	10	0
2	1	2	20	3	10	0
2	1	2	20	4	10	0
2	1	2	20	8	10	0
2	1	2	20	12	10	0
2	1	2	20	16	10	3
2	1	2	20	20	31	7
2	1	2	20	24	49	12
2	1	2	25	1	8	0
2	1	2	25	2	10	0
2	1	2	25	3	10	0
2	1	2	25	4	10	0
2	1	2	25	6	15	2
2	1	2	25	8	12	4
2	1	2	25	10	12	5
2	1	2	25	12	30	12
2	1	2	25	14	37	18
2	1	2	30	1	6	0
2	1	2	30	2	10	0
2	1	2	30	3	10	0
2	1	2	30	4	10	1
2	1	2	30	6	10	3
2	1	2	30	8	10	5
2	1	2	30	10	13	5
2	1	2	30	12	27	14
2	1	2	30	14	24	15
3	1	7	20	1	10	3
3	1	7	20	2	10	0
3	1	7	20	3	10	0
3	1	7	20	4	10	0
3	1	7	20	8	9	0
3	1	7	20	12	10	7
3	1	7	20	16	10	7
3	1	7	20	20	23	23
3	1	7	20	24	24	17
3	1	7	25	1	10	0
3	1	7	25	2	10	0
3	1	7	25	3	10	0
3	1	7	25	4	10	0
3	1	7	25	6	10	5
3	1	7	25	8	10	7
3	1	7	25	10	10	5
3	1	7	25	12	15	14
3	1	7	25	14	20	17
3	1	7	30	1	10	0
3	1	7	30	2	10	0
3	1	7	30	3	10	5
3	1	7	30	4	10	8
3	1	7	30	6	10	8
3	1	7	30	8	10	10
3	1	7	30	10	10	8
3	1	7	30	12	15	15
3	1	7	30	14	20	19
5	1	1	15	0	10	0
5	1	1	15	2	10	0
5	1	1	15	4	10	0
5	1	1	15	6	10	0
5	1	1	15	8	10	0
5	1	1	15	10	10	0
5	1	1	15	12	10	0
5	1	1	15	14	10	0
5	1	1	15	16	10	0
5	1	1	15	18	10	0
5	1	1	15	20	10	0
5	1	1	15	22	10	0
5	1	1	15	24	10	0
5	1	1	15	26	10	0
5	1	1	15	28	10	0
5	1	1	20	0	10	0
5	1	1	20	2	10	0
5	1	1	20	4	10	0
5	1	1	20	6	10	0
5	1	1	20	8	10	0
5	1	1	20	10	10	0
5	1	1	20	12	10	2
5	1	1	20	14	10	2
5	1	1	20	16	10	2
5	1	1	20	18	10	6
5	1	1	20	20	10	6
5	1	1	20	22	10	4
5	1	1	20	24	10	3
5	1	1	20	26	10	8
5	1	1	20	28	10	5
5	1	1	25	0	10	0
5	1	1	25	1	10	0
5	1	1	25	2	10	8
5	1	1	25	3	10	9
5	1	1	25	4	10	10
5	1	1	25	5	10	10
5	1	1	25	6	10	10
5	1	1	25	7	10	10
5	1	1	25	8	10	9
5	1	1	25	9	10	10
5	1	1	25	10	10	10
5	1	1	25	12	10	10
5	1	1	25	15	10	10
5	1	1	30	0	10	0
5	1	1	30	1	10	0
5	1	1	30	2	10	8
5	1	1	30	3	10	6
5	1	1	30	4	10	8
5	1	1	30	5	10	10
5	1	1	30	6	10	8
5	1	1	30	7	10	10
5	1	1	30	8	10	10
5	1	1	30	9	10	10
5	1	1	30	10	10	7
